data,hits,visitors
1130803/0001410578-12-000085/-index.htm,1,1
1582982/0001493152-17-003230/ex23-1.htm,1,1
1671181/0001671181-16-000002/primary_doc.xml,1,1
856343/0000091155-98-000085/.txt,1,1
26780/0001225208-10-008046/-index.htm,1,1
1007280/0001007280-99-000027/.txt,1,1
61004/0001193805-10-001023/e606770_ex.xml,1,1
1404901/9999999997-07-030757/-index.htm,1,1
773757/0001193125-17-044590/.txt,1,1
315852/0000950134-04-006618/d14506exv31w2.txt,1,1
807878/0001144204-15-057211/.txt,1,1
351998/0001231402-08-000004/.hdr.sgml,1,1
840573/0001144204-05-019064/.txt,1,1
885725/0001225208-09-005077/doc4.xml,1,1
850429/0000850429-10-000008/xslF345X03/edgar.xml,1,1
944075/0000944075-09-000004/xslF345X03/primary_doc.xml,1,1
1430602/0001193125-15-115806/-index.htm,1,1
1013240/0001013240-97-000005/.txt,1,1
72971/0001193125-04-194787/.txt,1,1
1082368/0000950144-99-006614/.txt,1,1
1027183/0001144204-15-017999/-index.htm,1,1
826644/0001193125-15-253156/.txt,1,1
1246413/0001209191-10-016893/doc4.xml,1,1
896159/0000913414-06-000086/.txt,1,1
1464151/0000919574-09-010303/.hdr.sgml,1,1
924394/0001145549-15-003831/.txt,1,1
1101215/0001101215-09-000040/xslF345X03/edgar.xml,1,1
1028760/0001193125-12-061247/.txt,1,1
763852/0001193125-13-277231/.txt,1,1
1060736/0001104659-12-009196/.txt,1,1
943656/0001003297-14-000399/.txt,1,1
799850/0001181431-06-016446/.txt,1,1
908311/0001179110-16-022291/xslF345X03/edgar.xml,1,1
356171/0001199660-08-000022/primary_doc.xml,1,1
1048702/0001582816-13-000057/.txt,1,1
729237/0000950152-98-003126/.txt,1,1
1055949/0000947871-17-000160/xslF345X03/ss31932_4.xml,1,1
836974/0000950131-99-003126/.txt,1,1
46080/0000046080-14-000045/.txt,1,1
1344963/0000930413-07-005367/-index.htm,1,1
1001039/0001001039-04-000011/-index.htm,1,1
1556266/0001213900-13-004150/-index.htm,1,1
1015650/0001145549-05-001607/h00043e6vk.htm,1,1
1593547/0001135428-16-001546/.txt,1,1
1089511/0001209191-17-000293/-index.htm,1,1
867374/0001181431-08-007849/xslF345X02/rrd194012.xml,1,1
1469510/0000000000-11-038260/.txt,1,1
1047092/0001209191-16-126325/doc4.xml,1,1
1425905/0001144204-10-030053/.txt,1,1
1264242/0000950136-05-007556/.txt,1,1
1017022/0001194636-05-000001/.hdr.sgml,1,1
1399968/9999999997-07-024440/-index.htm,1,1
1195933/0001195933-13-000039/.txt,1,1
811240/0001209191-14-048732/-index.htm,1,1
1174169/0001193125-09-232993/d6k.htm,1,1
914156/0001104659-14-019572/ufpt-20131231.xml,1,1
77449/0001104659-15-083662/a15-23024_1ex32d2.htm,1,1
1322843/0000073124-06-000031/.txt,1,1
1135152/0001225208-17-001258/-index.html,1,1
812348/0001246197-06-000023/.txt,1,1
51143/0001181431-09-038433/rrd250167.xml,1,1
861002/0000898733-97-000809/.txt,1,1
714530/0001127602-12-012463/.txt,1,1
1061114/0001047469-98-028982/.txt,1,1
723125/0000723125-09-000072/edgar.xml,1,1
1512499/0001140361-17-017937/.txt,1,1
906107/0001127602-09-016998/form4.xml,1,1
8868/0000008868-13-000019/a2058-k.htm,1,1
1044321/0001044321-12-000011/.txt,1,1
104889/0000104889-09-000006/xslF345X03/primary_doc.xml,1,1
1118037/0001104659-09-053460/a09-15695_11sc14d9a.htm,1,1
722575/0001035347-97-000112/.txt,1,1
1393934/0001144204-07-014556/v069379_ex3-1.htm,1,1
765207/0000765207-13-000038/R56.htm,1,1
890491/0001193125-12-285399/bks-20120428.xsd,1,1
860748/0000950131-97-004472/.txt,1,1
313927/0000313927-98-000008/.txt,1,1
1056278/0000950144-98-009076/.txt,1,1
1321710/0001437749-13-012866/R5.htm,1,1
1320615/0000930413-15-002989/.txt,1,1
1088200/0000897069-00-000553/.txt,1,1
805264/0000912057-02-031557/a2086927z10-q.htm,1,1
1137360/0001137360-09-000015/china.htm,1,1
888002/0000888002-97-000281/.txt,1,1
36104/0001225208-09-020688/xslF345X03/doc4.xml,1,1
1062231/0001062231-05-000128/exhibit32.htm,1,1
81238/0000766524-11-000020/.txt,1,1
1094348/0001209191-07-013207/.txt,1,1
798783/0001127602-09-013305/xslF345X03/form4.xml,1,1
1116521/0001047469-03-018411/a2111105zex-99_2.htm,1,1
1011659/0001157523-03-001095/.txt,1,1
1166274/0001144204-13-064976/v361472_4.xml,1,1
1193194/0000096638-07-000067/-index.htm,1,1
1364742/0001086364-13-001817/.txt,1,1
825313/0001104659-03-014519/.txt,1,1
1500604/0000950123-16-015189/-index.htm,1,1
895421/0000895421-98-000020/.txt,1,1
315213/0001193125-11-073945/ddef14a.htm,1,1
913015/0000950152-08-006728/-index.htm,1,1
355747/0000091155-99-000618/.txt,1,1
80255/0000080255-98-000103/.txt,1,1
865436/0000891092-04-004855/.txt,1,1
1036877/0000774467-99-000088/.txt,1,1
1307748/0001307748-07-000016/-index.htm,1,1
1492195/0001193125-14-323172/-index.htm,1,1
29644/0000897101-11-001630/dci-20110731.xml,1,1
923687/0000903423-98-000129/.txt,1,1
1243160/0001047122-07-000029/.txt,1,1
924717/0001037389-17-000144/-index.html,1,1
1398453/0001144204-14-067047/v393971_ex99-1.htm,1,1
1189582/0001361989-09-000044/xslF345X03/stevenson_ex.xml,1,1
1391266/0001391266-11-000003/-index.htm,1,1
1378718/0001104659-12-052767/-index.htm,1,1
914775/0001080084-99-000206/.txt,1,1
1009759/0001360757-09-000002/-index.htm,1,1
1057685/0000915775-98-000024/.txt,1,1
1069183/0001086364-14-001637/.txt,1,1
1074173/0000928385-98-002471/.txt,1,1
1275283/0001275283-09-000014/-index.htm,1,1
1346980/0001346980-14-000040/R23.htm,1,1
1410399/0001209191-17-019023/-index.html,1,1
1498382/0001165527-12-001302/.txt,1,1
1552963/0001181431-12-050806/xslF345X03/rrd356214.xml,1,1
714756/0001275287-05-004683/.txt,1,1
1643973/0001225208-17-004270/-index.html,1,1
1060326/0000950123-98-009576/.txt,1,1
725876/0000725876-15-000060/.txt,1,1
1639691/0000215457-16-004633/-index.htm,1,1
1198847/0001181431-07-031455/-index.htm,1,1
835768/0001179110-07-003473/.txt,1,1
717605/0001179110-09-001259/edgar.xml,1,1
1018710/0001104659-06-009043/.txt,1,1
769218/0001193125-08-239971/filename1.htm,1,1
1081400/0001145549-15-002740/.txt,1,1
886982/0001140361-17-017142/.txt,1,1
1182214/0000006885-07-000071/-index.htm,1,1
887359/0001209191-08-058759/-index.htm,1,1
825202/0000949377-12-000498/.txt,1,1
1175151/0001144204-14-048884/R16.htm,1,1
826644/0000950129-01-000146/.txt,1,1
1290999/0001104659-05-042977/.txt,1,1
1077241/0000950109-99-004215/.txt,1,1
1690820/0001193125-17-140723/.txt,1,1
1406982/0001193125-09-055381/R1.htm,1,1
23194/0001104659-03-001695/-index.htm,1,1
5103/0000950123-01-002219/.txt,1,1
770949/0001047469-03-008768/a2105067z10-k.htm,1,1
938257/0001209191-08-039867/xslF345X03/doc4.xml,1,1
771856/0001144204-15-016511/v404684_ex10-4.htm,1,1
1084750/0001354457-11-000087/primary_doc.xml,1,1
777001/0001047469-06-000974/.txt,1,1
1091459/0000740583-16-000420/.txt,1,1
821699/0000810117-98-000020/.txt,1,1
1276445/0001140361-11-057401/-index.htm,1,1
1120370/0001104659-09-041010/a09-17284_3144.htm,1,1
1284660/0000104918-16-000175/-index.htm,1,1
1615992/0001104659-15-046997/.txt,1,1
1464591/0001047469-14-000630/-index.htm,1,1
729580/0000905718-98-000283/.txt,1,1
21267/0000021267-00-000017/.txt,1,1
920424/0000950123-97-007641/.txt,1,1
108385/0001181431-08-033697/-index.htm,1,1
808064/0000312069-06-000036/.txt,1,1
904548/0000904548-15-000004/gtm.start,1,1
792987/0001140361-14-024248/xslF345X03/doc1.xml,1,1
1354457/0001354457-07-000085/.txt,1,1
798949/0001225208-15-011682/doc4.xml,1,1
21665/0001305508-08-000110/-index.htm,1,1
926326/0001179110-09-002242/xslF345X03/edgar.xml,1,1
773840/0000950117-09-000401/.txt,1,1
1505462/0001505462-10-000002/.hdr.sgml,1,1
4447/0001209191-08-024822/xslF345X02/doc4.xml,1,1
1222244/0001144204-12-045385/.txt,1,1
27996/0001218164-08-000033/xslF345X02/edgar.xml,1,1
21031/9999999997-06-009884/.txt,1,1
310522/0000310522-15-000104/.txt,1,1
75176/0000075176-08-000020/-index.htm,1,1
315293/0001179110-08-006189/edgar.xml,1,1
93676/0001193125-05-183176/dex31a.htm,1,1
1076167/0000947871-03-000428/.txt,1,1
1046778/0000950134-97-007026/.txt,1,1
1287865/0000950144-06-003009/g00476exv23w2.txt,1,1
1294808/0000950123-07-012078/y38847fe8vk.htm,1,1
1517228/0001193125-14-200114/d726182d8k.htm,1,1
1649347/0001209191-16-091057/-index.htm,1,1
17283/0000017283-02-000573/.txt,1,1
35692/0000035692-99-000004/.txt,1,1
72971/0001193125-10-251530/.txt,1,1
715072/0001209191-15-057883/.txt,1,1
719722/0000898430-02-000167/.txt,1,1
790708/0000950123-99-007886/.txt,1,1
794367/0001193125-15-392007/.txt,1,1
859607/0001193125-14-346414/.txt,1,1
1162475/0001140003-02-000012/.txt,1,1
862923/0000950133-99-002751/.txt,1,1
895421/0000950103-11-003221/.txt,1,1
1002761/0001193125-14-124284/d697331dex351.htm,1,1
903571/0001193125-07-270447/.txt,1,1
1066107/0001066107-07-000009/.txt,1,1
1587447/0001144204-17-034206/.txt,8920,5577
1559306/0000899243-17-017481/-index.htm,8922,8775
1559311/0000899243-17-017481/-index.htm,8923,8771
77776/9999999997-17-007287/-index.htm,8931,8669
1386278/9999999997-17-007284/-index.htm,8932,8593
1508900/0000899243-17-017481/-index.htm,8932,8778
732717/9999999997-17-007269/.txt,8937,8895
1000177/9999999997-17-007271/.paper,8938,8898
1053092/0000950103-17-006173/-index.htm,8944,4791
1508902/0000899243-17-017481/-index.htm,8946,8784
707388/0000707388-17-000021/-index.htm,8947,8802
1644963/9999999997-17-007273/.paper,8955,8926
1531031/9999999997-17-007274/.paper,8960,8929
1662888/0000899243-17-017265/.txt,8962,5457
1000177/9999999997-17-007271/.txt,8968,8925
1442836/9999999997-17-007272/.paper,8971,8937
732717/9999999997-17-007275/.paper,8972,8936
1053092/0000950103-17-006170/-index.htm,8978,4743
789132/0000950157-17-000997/-index.htm,8988,8785
1114446/0001114446-17-004266/-index.htm,8993,4529
1442836/9999999997-17-007272/.txt,8995,8951
1574963/9999999997-17-007283/-index.htm,8995,8650
1644963/9999999997-17-007273/.txt,8998,8958
1114446/0001114446-17-004264/-index.htm,9001,4513
732717/9999999997-17-007275/.txt,9007,8961
1114446/0001114446-17-004261/-index.htm,9010,4506
1554875/9999999997-17-007295/-index.htm,9015,8773
1271214/9999999997-17-007281/-index.htm,9034,8698
1675192/9999999997-17-007303/-index.htm,9054,8964
1114446/0001114446-17-004262/-index.htm,9099,4559
1531031/9999999997-17-007274/.txt,9128,9052
1707522/0001387131-17-003455/.txt,9144,5589
313216/0001193125-17-216853/-index.htm,9165,8818
1585724/0001387131-17-003457/.txt,9180,5634
1546861/0001140361-17-026136/.txt,9195,5686
1617236/0001209191-17-041875/.txt,9195,5697
1053092/0000950103-17-006182/-index.htm,9203,5012
1607678/9999999997-17-007290/-index.htm,9204,8949
1700257/0001387131-17-003458/.txt,9214,5675
1702750/9999999997-17-007301/-index.htm,9218,8987
1646517/0001104659-17-042228/-index.htm,9233,9078
1710351/0001104659-17-042235/-index.htm,9239,9092
1428648/0001104659-17-042232/-index.htm,9243,9075
1591956/9999999997-17-007288/-index.htm,9250,8965
1675634/9999999997-17-007294/-index.htm,9255,9007
1269385/0001104659-17-042229/-index.htm,9256,9090
1587447/0001144204-17-034205/.txt,9261,5735
1051258/0001104659-17-042236/-index.htm,9261,9102
1280882/0001140361-17-026134/.txt,9261,5733
1053092/0000950103-17-006183/-index.htm,9262,4927
1534828/0001104659-17-042237/-index.htm,9270,9112
1679114/0001140361-17-026132/.txt,9280,5727
1668033/0001387131-17-003459/.txt,9283,5743
1237336/0001140361-17-026139/.txt,9284,5775
1053092/0000950103-17-006181/-index.htm,9308,5073
808362/9999999997-17-007293/-index.htm,9310,9061
56978/0000056978-17-000077/-index.htm,9337,9090
1114446/0001114446-17-004163/-index.htm,9347,5170
1224133/0001564590-17-013072/-index.htm,9362,9113
1259061/0001140361-17-026142/.txt,9363,5792
1114446/0001114446-17-004162/-index.htm,9382,5153
278130/0001157523-17-001886/-index.htm,9383,9146
1701114/9999999997-17-007276/.paper,9396,9370
1039684/0001039684-17-000081/-index.htm,9398,9132
909281/0000909281-17-000064/-index.htm,9408,9135
1701114/9999999997-17-007276/.txt,9409,9368
1053092/0000950103-17-006179/-index.htm,9411,5352
1114446/0000914121-17-000840/-index.htm,9422,4660
1443849/0001140361-17-026141/.txt,9435,5872
312070/0001104659-17-041509/-index.htm,9436,4632
789132/0001193125-17-216853/-index.htm,9445,8999
1114446/0001114446-17-004160/-index.htm,9450,5213
1114446/0001114446-17-004161/-index.htm,9477,5228
1114446/0001114446-17-004159/-index.htm,9500,5254
1710385/0001104659-17-042233/-index.htm,9503,9210
1562039/0001562039-17-000022/-index.htm,9505,9165
1710361/0001104659-17-042231/-index.htm,9517,9226
1710333/0001104659-17-042230/-index.htm,9531,9231
1710379/0001104659-17-042234/-index.htm,9539,9242
1679049/0001679049-17-000013/-index.htm,9544,9197
1114446/0001114446-17-004148/-index.htm,9552,5180
1710377/0001104659-17-042235/-index.htm,9553,9251
1498068/0001498068-17-000049/-index.htm,9584,9218
1114446/0000914121-17-000839/-index.htm,9603,4818
102109/0001144204-17-034577/-index.htm,9673,9444
1701114/0001104659-17-042233/-index.htm,9688,9407
1701114/0001104659-17-042231/-index.htm,9698,9428
1701114/0001104659-17-042234/-index.htm,9705,9428
1053092/0000950103-17-006172/-index.htm,9714,5245
1701114/0001104659-17-042230/-index.htm,9714,9430
1114446/0001114446-17-004156/-index.htm,9722,5300
1701114/0000899243-17-017481/-index.htm,9733,9301
1701114/0001104659-17-042235/-index.htm,9739,9456
1114446/0001114446-17-004158/-index.htm,9739,5256
1114446/0001114446-17-004151/-index.htm,9779,5392
1114446/0001114446-17-004153/-index.htm,9794,5242
1137360/0001325358-17-000569/-index.htm,9819,4653
732717/9999999997-17-007269/-index.htm,9828,9502
1114446/0001114446-17-004149/-index.htm,9887,5430
1114446/0001114446-17-004152/-index.htm,9909,5348
1114446/0001114446-17-004157/-index.htm,9942,5360
1114446/0001114446-17-004154/-index.htm,9963,5324
732717/9999999997-17-007275/-index.htm,9988,9673
1701114/0001104659-17-042232/-index.htm,10002,9561
1114446/0001114446-17-004150/-index.htm,10004,5534
1114446/0001114446-17-004155/-index.htm,10008,5302
1701114/0001104659-17-042229/-index.htm,10010,9578
1701114/0001104659-17-042228/-index.htm,10016,9579
1701114/0001104659-17-042236/-index.htm,10033,9605
1701114/0001104659-17-042237/-index.htm,10041,9618
1000177/9999999997-17-007271/-index.htm,10061,9705
1442836/9999999997-17-007272/-index.htm,10076,9701
917851/0001104659-17-042154/-index.htm,10104,9469
1644963/9999999997-17-007273/-index.htm,10108,9714
1531031/9999999997-17-007274/-index.htm,10198,9786
1114446/0000914121-17-000842/-index.htm,10215,5281
917851/0001104659-17-042032/-index.htm,10475,10097
917851/0001104659-17-042031/-index.htm,10478,10105
1174610/0001193125-17-214489/-index.htm,10627,4095
1701114/9999999997-17-007276/-index.htm,10713,10310
1350487/0001193125-17-214126/-index.htm,10725,4142
1501134/0001564590-17-012987/-index.htm,11140,6007
312070/0001104659-17-042037/-index.htm,11264,5228
1665724/0000919574-17-005026/xslFormDX01/primary_doc.xml,11269,2525
1665724/0000919574-17-005026/-index.htm,11831,3022
320193/0001193125-17-167400/-index.htm,11994,11956
320193/0001193125-17-181867/-index.htm,12010,11979
312070/0001104659-17-042043/-index.htm,12258,5521
320193/0001193125-17-208226/-index.htm,12495,12418
312070/0001104659-17-042061/-index.htm,12624,5544
1602078/0001553350-17-000806/-index.htm,13022,6956
1114446/0000914121-17-000844/-index.htm,13138,6682
1584509/0001584509-16-000514/armk-20160930.xml,14153,6985
1021860/0001193125-17-215536/-index.htm,14476,13857
1350487/0001193125-17-216453/-index.htm,15309,6856
312070/0001104659-17-041552/-index.htm,15318,6706
1350487/0001193125-17-216454/-index.htm,15452,6817
1584509/0001584509-16-000514/armk-20160930.xsd,15554,7412
1582844/0001493152-16-014991/-index.htm,15600,7978
1584509/0001584509-16-000514/armk-20160930_cal.xml,15818,7464
1584509/0001584509-16-000514/armk-20160930_def.xml,15872,7613
1584509/0001584509-16-000514/armk-20160930_pre.xml,15881,7521
1584509/0001584509-16-000514/armk-20160930_lab.xml,15966,7570
1617236/0001209191-17-041874/-index.htm,16083,15768
1350487/0001193125-17-216455/-index.htm,16107,6953
1100663/0001193125-17-216006/-index.htm,16115,5746
312070/0000950103-17-006059/-index.htm,16481,6923
1707522/0001387131-17-003454/-index.htm,16655,16342
1419600/0001209191-17-041874/-index.htm,16992,16450
1589094/0001193125-17-214834/-index.htm,17109,16846
1551693/0001193125-17-212318/-index.htm,17230,16858
1551693/0001193125-17-212326/-index.htm,17272,16892
1589094/0001193125-17-214767/-index.htm,17311,17037
814586/0001683168-17-001655/-index.htm,17439,17096
725876/0001493152-17-007220/-index.htm,17459,16989
917851/0001104659-17-041852/-index.htm,17460,16899
1528557/0001387131-17-003454/-index.htm,17501,16965
1326190/0001193125-17-215022/-index.htm,17757,17174
1299139/0001493152-17-007204/-index.htm,17806,17219
1084048/0001193125-17-215017/-index.htm,17822,17226
1072379/0001144204-17-034437/-index.htm,17875,17297
917851/0001104659-17-041492/-index.htm,18341,17620
917851/0001104659-17-041493/-index.htm,18364,17619
1644963/0001144204-17-034204/-index.htm,18386,16930
1350487/0001193125-17-213475/-index.htm,18400,7283
1059562/0001626129-17-000427/-index.htm,18836,18355
1174610/0001193125-17-216350/-index.htm,19025,8457
312070/0001104659-17-042156/-index.htm,19902,8854
315066/0000315066-17-002493/-index.htm,20998,20833
47518/0001214659-17-004166/-index.htm,21953,21140
1442836/0000315066-17-002493/-index.htm,21994,21454
312070/0000950103-17-006180/-index.htm,23088,10047
1584627/0001654954-17-004131/primary_doc.xml,24451,12373
1444043/0001654954-17-002061/primary_doc.xml,24456,12377
1444043/0001654954-17-002061/infoTable.xml,24456,12371
1444043/0001654954-17-002061/xslForm13F_X01/infoTable.xml,24457,12356
1178652/0001654954-17-004129/primary_doc.xml,24460,12369
1663897/0001654954-17-004454/primary_doc.xml,24462,12373
1343236/0001654954-17-004132/primary_doc.xml,24462,12380
1663897/0001654954-17-004454/xslForm13F_X01/infoTable.xml,24462,12367
1663897/0001654954-17-004454/infoTable.xml,24463,12370
1444043/0001654954-17-004694/infoTable.xml,24466,12379
1444043/0001654954-17-004694/primary_doc.xml,24466,12358
1444043/0001654954-17-004694/xslForm13F_X01/infoTable.xml,24469,12383
932782/9999999997-16-026706/.txt,25319,25319
1191329/0001140361-17-026144/-index.htm,25957,25221
1587447/0001144204-17-034206/-index.htm,25993,25341
943819/0001140361-17-026144/-index.htm,26324,25561
1437557/0001144204-17-034206/-index.htm,26691,25956
941548/0001601389-14-000089/edgardoc.xml,28330,13683
1100663/0001193125-17-215251/-index.htm,30773,10310
1100663/0001193125-17-215069/-index.htm,31163,10187
1709110/0001209191-17-042067/-index.htm,31858,31571
1100663/0001193125-17-215257/-index.htm,32169,11667
1442836/0001209191-17-042067/-index.htm,32264,31868
1100663/0001193125-17-214969/-index.htm,32895,10027
1350487/0001193125-17-213464/-index.htm,35549,12270
1023844/0001193125-16-710438/.txt,36440,36440
1470766/0000950123-16-022486/-index.htm,46615,24013
1465643/0001576429-14-000002/-index.htm,594073,114838
